
------------------------------------------
          Información de la red         

Tipo de red (rango CIDR): 192.168.1.141/24
Nombre de la red: 192.168.1.0/24
La IP 192.168.1.144 está libre.
La IP 192.168.1.145 está libre.
La IP 192.168.1.146 está libre.
La IP 192.168.1.147 está libre.
La IP 192.168.1.148 está libre.
La IP 192.168.1.149 está libre.
La IP 192.168.1.150 está libre.
La IP 192.168.1.151 está libre.
La IP 192.168.1.152 está libre.
La IP 192.168.1.153 está libre.
La IP 192.168.1.154 está libre.
La IP 192.168.1.155 está libre.
La IP 192.168.1.156 está libre.
La IP 192.168.1.157 está libre.
La IP 192.168.1.158 está libre.
La IP 192.168.1.159 está libre.
La IP 192.168.1.160 está libre.
La IP 192.168.1.161 está libre.
La IP 192.168.1.162 está libre.
La IP 192.168.1.163 está libre.
La IP 192.168.1.164 está libre.
La IP 192.168.1.165 está libre.
La IP 192.168.1.166 está libre.
La IP 192.168.1.167 está ocupada.
La IP 192.168.1.168 está libre.
La IP 192.168.1.169 está libre.
La IP 192.168.1.170 está libre.
La IP 192.168.1.171 está libre.
La IP 192.168.1.172 está libre.
La IP 192.168.1.173 está libre.
La IP 192.168.1.174 está libre.
La IP 192.168.1.175 está ocupada.
La IP 192.168.1.176 está libre.
La IP 192.168.1.177 está libre.
La IP 192.168.1.178 está libre.
La IP 192.168.1.179 está libre.
La IP 192.168.1.180 está libre.
La IP 192.168.1.181 está libre.
La IP 192.168.1.182 está libre.
La IP 192.168.1.183 está libre.
La IP 192.168.1.184 está libre.
La IP 192.168.1.185 está libre.
La IP 192.168.1.186 está libre.
La IP 192.168.1.187 está libre.
La IP 192.168.1.188 está libre.
La IP 192.168.1.189 está libre.
La IP 192.168.1.190 está libre.
La IP 192.168.1.191 está libre.
La IP 192.168.1.192 está libre.
La IP 192.168.1.193 está libre.
La IP 192.168.1.194 está libre.
La IP 192.168.1.195 está libre.
La IP 192.168.1.196 está libre.
La IP 192.168.1.197 está libre.
La IP 192.168.1.198 está libre.
La IP 192.168.1.199 está libre.
La IP 192.168.1.200 está libre.
La IP 192.168.1.201 está libre.
La IP 192.168.1.202 está libre.
La IP 192.168.1.203 está libre.
La IP 192.168.1.204 está libre.
La IP 192.168.1.205 está libre.
La IP 192.168.1.206 está libre.
La IP 192.168.1.207 está libre.
La IP 192.168.1.208 está libre.
La IP 192.168.1.209 está libre.
La IP 192.168.1.210 está libre.
La IP 192.168.1.211 está libre.
La IP 192.168.1.212 está libre.
La IP 192.168.1.213 está libre.
La IP 192.168.1.214 está libre.
La IP 192.168.1.215 está libre.
La IP 192.168.1.216 está libre.
La IP 192.168.1.217 está libre.
La IP 192.168.1.218 está libre.
La IP 192.168.1.219 está libre.
La IP 192.168.1.220 está libre.
La IP 192.168.1.221 está libre.
La IP 192.168.1.222 está libre.
La IP 192.168.1.223 está libre.
La IP 192.168.1.224 está libre.
La IP 192.168.1.225 está libre.
La IP 192.168.1.226 está libre.
La IP 192.168.1.227 está libre.
La IP 192.168.1.228 está libre.
La IP 192.168.1.229 está libre.
La IP 192.168.1.230 está libre.
La IP 192.168.1.231 está libre.
La IP 192.168.1.232 está libre.
La IP 192.168.1.233 está libre.
La IP 192.168.1.234 está libre.
La IP 192.168.1.235 está libre.
La IP 192.168.1.236 está libre.
La IP 192.168.1.237 está libre.
La IP 192.168.1.238 está libre.
La IP 192.168.1.239 está libre.
La IP 192.168.1.240 está libre.
La IP 192.168.1.241 está libre.
La IP 192.168.1.242 está libre.
La IP 192.168.1.243 está libre.
La IP 192.168.1.244 está libre.
La IP 192.168.1.245 está libre.
La IP 192.168.1.246 está libre.
La IP 192.168.1.247 está libre.
La IP 192.168.1.248 está libre.
La IP 192.168.1.249 está libre.
La IP 192.168.1.250 está libre.
La IP 192.168.1.251 está libre.
La IP 192.168.1.252 está libre.
La IP 192.168.1.253 está libre.
La IP 192.168.1.254 está libre.
